ID,adoption,died,euthanasia,return_to_owner,transfer
1,0.01823354,0.0019501818,0.033005122,0.1517916,0.7950196
2,0.7503911,0.001029614,0.014435713,0.19443637,0.039707188
3,0.37822568,0.002240913,0.008362536,0.17868501,0.43248585
4,0.18727055,0.004656556,0.026778702,0.19756919,0.583725
5,0.45622233,0.001494889,0.008044232,0.45198047,0.08225814
6,0.1255726,0.0014614147,0.015822448,0.6981851,0.15895844
7,0.2993178,0.032147497,0.48935685,0.11897571,0.06020218
8,0.91906506,0.004947335,0.008981406,0.020726154,0.046280023
9,0.8593052,0.0008789354,0.002524516,0.079708554,0.057582736
10,0.41138032,0.001782866,0.045611475,0.48244926,0.058776118
11,0.81297904,0.0015974193,0.0036806625,0.12032985,0.061413012
12,0.030252289,0.0023972297,0.106327884,0.24747102,0.61355156
13,0.7152929,0.0025200276,0.009285444,0.08623371,0.18666795
14,0.8827957,0.002046907,0.006660044,0.02778357,0.0807138
15,0.87359,0.0016902214,0.0055918046,0.09230498,0.026822936
16,0.78271174,0.0015677682,0.004992076,0.1519445,0.05878397
17,0.33326745,0.0015424453,0.042241823,0.4931877,0.12976058
18,0.6323987,0.0013157325,0.0057002935,0.33491626,0.025668958
19,0.21445175,0.0040826513,0.021617366,0.18678463,0.5730636
20,0.011819156,0.0039380635,0.080188215,0.016973801,0.8870807
21,0.602656,0.0020730607,0.023511672,0.25781482,0.11394449
22,0.00077583716,0.0027188591,0.034671556,0.0017854673,0.96004826
23,0.6443583,0.0013842012,0.0078073456,0.15300182,0.1934484
24,0.0011130404,0.0014553906,0.029224664,0.0017987228,0.96640825
25,0.7156793,0.0012825098,0.013912874,0.16311313,0.10601218
26,0.20717716,0.008482925,0.061790947,0.08272442,0.63982457
27,0.95122814,0.000411507,0.00106431,0.0025694857,0.044726606
28,0.031053346,0.1006644,0.31316257,0.021759504,0.5333602
29,0.3201294,0.0014198186,0.0961369,0.40629598,0.17601794
30,0.3761724,0.0017360857,0.024953863,0.4940307,0.10310691
31,0.22104564,0.0021019124,0.026198989,0.1469187,0.6037348
32,0.85595894,0.0017286747,0.0022171002,0.046420425,0.09367484
33,0.101414196,0.0032497686,0.08927695,0.044343308,0.7617158
34,0.98720676,0.001144642,0.0015602713,0.004326055,0.0057622697
